Date_Key,Date,Year,Month,Day,Quarter,WeekOfYear,DayOfWeek,DayName,IsWeekend
429,2000-12-05,2000,12,5,4,49,1,Tuesday,0
430,2000-12-06,2000,12,6,4,49,2,Wednesday,0
431,2000-12-07,2000,12,7,4,49,3,Thursday,0
432,2000-12-08,2000,12,8,4,49,4,Friday,0
433,2000-12-09,2000,12,9,4,49,5,Saturday,1
434,2000-12-10,2000,12,10,4,49,6,Sunday,1
435,2000-12-11,2000,12,11,4,50,0,Monday,0
436,2000-12-12,2000,12,12,4,50,1,Tuesday,0
437,2000-12-13,2000,12,13,4,50,2,Wednesday,0
438,2000-12-14,2000,12,14,4,50,3,Thursday,0
439,2000-12-15,2000,12,15,4,50,4,Friday,0
440,2000-12-16,2000,12,16,4,50,5,Saturday,1
441,2000-12-17,2000,12,17,4,50,6,Sunday,1
442,2000-12-18,2000,12,18,4,51,0,Monday,0
443,2000-12-19,2000,12,19,4,51,1,Tuesday,0
444,2000-12-20,2000,12,20,4,51,2,Wednesday,0
445,2000-12-21,2000,12,21,4,51,3,Thursday,0
446,2000-12-22,2000,12,22,4,51,4,Friday,0
447,2000-12-23,2000,12,23,4,51,5,Saturday,1
448,2000-12-24,2000,12,24,4,51,6,Sunday,1
449,2000-12-25,2000,12,25,4,52,0,Monday,0
450,2000-12-26,2000,12,26,4,52,1,Tuesday,0
451,2000-12-27,2000,12,27,4,52,2,Wednesday,0
452,2000-12-28,2000,12,28,4,52,3,Thursday,0
453,2000-12-29,2000,12,29,4,52,4,Friday,0
454,2000-12-30,2000,12,30,4,52,5,Saturday,1
455,2000-12-31,2000,12,31,4,52,6,Sunday,1
456,2001-01-01,2001,1,1,1,1,0,Monday,0
457,2001-01-02,2001,1,2,1,1,1,Tuesday,0
458,2001-01-03,2001,1,3,1,1,2,Wednesday,0
459,2001-01-04,2001,1,4,1,1,3,Thursday,0
460,2001-01-05,2001,1,5,1,1,4,Friday,0
461,2001-01-06,2001,1,6,1,1,5,Saturday,1
462,2001-01-07,2001,1,7,1,1,6,Sunday,1
463,2001-01-08,2001,1,8,1,2,0,Monday,0
464,2001-01-09,2001,1,9,1,2,1,Tuesday,0
465,2001-01-10,2001,1,10,1,2,2,Wednesday,0
466,2001-01-11,2001,1,11,1,2,3,Thursday,0
467,2001-01-12,2001,1,12,1,2,4,Friday,0
468,2001-01-13,2001,1,13,1,2,5,Saturday,1
469,2001-01-14,2001,1,14,1,2,6,Sunday,1
470,2001-01-15,2001,1,15,1,3,0,Monday,0
471,2001-01-16,2001,1,16,1,3,1,Tuesday,0
472,2001-01-17,2001,1,17,1,3,2,Wednesday,0
