Permit_Num,Permit_Type,Structure_Type,Work,Street_Num,Street_Name,Street_Type,Street_Direction,Postal,Geo_Id,Ward_Grid,Application_Date,Issued_Date,Completed_Date,Status,Description,Est_Const_Cost
23 168468 BLD,Building Additions/Alterations,Amusement Park Structure,Interior Alterations,1,TIAGO,AVE, ,M4B,30007733,S1924,2023-06-30,2023-07-18,,Inspection,Interior renovation including adding a new Universal Washroom and renovate existing washrooms.,1500000
23 169923 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,1246,YONGE,ST, ,M4T,8741517,S1238,2023-07-05,2023-07-31,,Inspection,"Proposal for interior alterations (137m2) to convert existing retail store/office to fitness parlour ""Stretch Lab"". Convenience Address: 1250 Yonge St.",100000
23 180461 BLD,Building Additions/Alterations,Stadium,Interior Alterations,4700,KEELE,ST, ,M3J,20029109,W0726,2023-07-27,2023-10-26,,Permit Issued,Proposal to construct interior alterations to suite 222.,250000
23 185771 BLD,Building Additions/Alterations,Club,Interior Alterations,2350,BAYVIEW,AVE, ,M2L,487614,N1523,2023-08-08,2023-08-31,,Permit Issued,Proposed Interior Alterations to young men's change room at 2nd floor. ,150000
23 189709 BLD,Building Additions/Alterations,Gymnasium,Interior Alterations,80,THE EAST MALL, , ,M8Z,5674930,W0324,2023-08-16,2023-10-18,,Inspection,Proposed interior alterations to convert unit into a badminton club.,200000
23 190272 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,1090,DON MILLS,RD, ,M3C,508018,N1626,2023-08-17,2023-09-18,,Permit Issued,Proposed interior alterations to nail spa including HVAC and PLB,80000
23 192778 BLD,Building Additions/Alterations,Stadium,Interior Alterations,1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2023-08-23,2023-10-23,,Inspection,"Scope of Works:Rogers Centre Lower Bowl Renovation Project, Phase 2. This application is for the ""Premium Spaces"" scope of work only, which includes patron lounges, entrances, food service spaces, and washroom amenities located on the 000 field level generally between grids LB10-LB20. Related mechanical & electrical improvements extend back further into the building. -- This represents the last permit application for the Phase 2 project.   ",65200000
23 193814 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,280,COXWELL,AVE, ,M4L,10538558,S1437,2023-08-25,2023-08-30,,Inspection,"Proposed conversion from GoodLife to Fit4Less. Addition of Turnstile, demolition of JUMP! for new boot/changeroom area, minor plumbing capping and HVAC relocation, demo and relocation of sprinklers associated with work in Turnstile/lobby area, additional sprinklers added where needed. ",300000
23 196969 BLD,Building Additions/Alterations,Recreational,Interior Alterations,336,QUEEN,ST,W,M5V,14069205,S1024,2023-09-01,2024-01-09,,Inspection,"PROPOSED: Interior Alteration with new partition, plumbing and HVAC, Modify existing sprinkler to suit new layout",180000
23 198342 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,1235,BAY,ST, ,M5R,7978305,S1128,2023-09-05,2023-10-25,,Inspection,Proposal for interior alterations to an existing ground floor level retail unit (Suite 101) in preparation for a conversion of use for a fitness tenant - 'Carrie's Pilates Studio'.  Scope includes plumbing & HVAC alterations.,75000
23 202239 BLD,Building Additions/Alterations,Recreational,Interior Alterations,2069,DANFORTH,AVE, ,M4C,14209799,S1931,2023-09-14,2023-10-13,,Inspection,Proposed interior alterations for new kid's activity centre (Recreation Use),200000
23 205327 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,2300,YONGE,ST, ,M4P,8535197,N0833,2023-09-21,2023-11-10,,Inspection,Proposal for lease hold improvements for a new GoodLife Fitness club ,1500000
23 208241 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,5928,FINCH,AVE,E,M1B,14229045,E2521,2023-09-28,2023-10-19,,Permit Issued,"Proposed interior alterations for a hair salon, unit 110.",65000
23 208422 BLD,Building Additions/Alterations,Stadium,Interior Alterations,1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2023-09-28,2023-10-23,,Inspection,"For the ""Group Sales Area"" scope of work, which entails a ticketed social space including patron lounges, food service spaces, and washroom amenities located on the 400 Level of Rogers Centre.",2000000
23 218467 BLD,Building Additions/Alterations,Stadium,Interior Alterations,1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2023-10-25,2023-11-27,,Permit Issued,Proposal for interior demolitions to return a portion of the existing 300 & 400 levels to base building condition.  Existing accessory office use to be maintained in this existing stadium.  ['Toronto Blue Jays Baseball Operations' - stadium upgrades],500000
23 226750 BLD,Building Additions/Alterations,Recreational,Interior Alterations,2900,WARDEN,AVE, ,M1W,396133,E2221,2023-11-16,2023-12-15,,Inspection,Interior alterations to unit 116A for new playground - Bridlewood Mall,160000
23 228879 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,2240,LAKE SHORE,BLVD,W,M8V,,W0337,2023-11-23,2023-11-28,,Inspection,Proposal to construct interior alterations for a hair salon.,30000
23 228973 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,171,EAST LIBERTY,ST, ,M6K,14670935,S1027,2023-11-23,2023-12-21,,Inspection,Interior alterations to change the use from retail store to wellness center,850000
23 234486 BLD,Building Additions/Alterations,Recreational,Interior Alterations,730,MILITARY,TRL, ,M1E,14627089,E2423,2023-12-11,2024-01-10,,Permit Issued,Proposed alterations for Fire Alarm Panel Replacement and Relocation within existing curling club.,25000
23 234842 BLD,Building Additions/Alterations,Club,Interior Alterations,135,ST GEORGE,ST, ,M5R,4030664,S1127,2023-12-12,2024-01-18,,Permit Issued,Proposal for renovation and minor modifications to washrooms and interior members' lounge space -relocation of bar,350000
23 236340 BLD,Building Additions/Alterations,Museum,Interior Alterations,10,DUNDAS,ST,E,###,14608186,S1328,2023-12-15,2024-01-24,,Permit Issued,"Interior alterations to Little Canada Museum (B2 lobby, Little Niagara area, retail area and Little West Coast area)",900000
23 239047 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,85,RICHMOND,ST,W,M5H,7929487,S1031,2023-12-29,2024-02-22,,Permit Issued,"Proposal for interior alterations to existing fitness space - Unit 105, located on the ground floor level.  Existing tenant - 'RAWC' (Recreation, Athletics, Wellness Centre).  Scope of work is limited to converting the spin studio into a weight area.",50000
24 103393 BLD,Building Additions/Alterations,Recreational,Interior Alterations,370,YONGE,ST, ,M5B,14206837,S1145,2024-01-10,2024-02-23,,Permit Issued,Proposed alterations to existing basement  ( F3 ) to change the use to a Karaoke ( A2 )new partition walls as shown on the architectural drawings.,50000
24 103660 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,1575,LAWRENCE,AVE,W,M6L,536277,W0529,2024-01-11,2024-01-18,,Permit Issued,1. PROPOSED INTERIOR NON-STRUCTURAL PARTITION WALL 2. NO CHANGE OF USE (PREVIOUS VACANT BARBER TO BARBER)3. NO STRUCTURAL CHANGE4. 1 EXISTING WASHROOM REMAIN,100000
24 104825 BLD,Building Additions/Alterations,Recreational,Interior Alterations,754,BATHURST,ST, ,M5S,768002,S1133,2024-01-15,2024-03-01,,Permit Issued,Proposal to construct interior alterations for Fitness Parlour.,250000
24 107172 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,2435-2481,KINGSTON,RD, ,M1N,14188158,E2035,2024-01-22,2024-02-01,,Permit Issued,Proposed interior alterations to convert existing vacant tenant space to a beauty parlor. ,150000
24 109764 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,486,FRONT,ST,W,###,30112939,S1032,2024-01-30,2024-02-28,,Permit Issued,INTERIOR ALTERATIONS - NEW TENANT,300000
24 110099 BLD,Building Additions/Alterations,Recreational,Interior Alterations,18,WYANDOT,AVE, ,M5J,8237599,S1043,2024-01-31,2024-02-29,,Permit Issued,Proposal for demolition and replacement of lateral wall at the recreation centre,5000
