Employment,Ward_ID,Population,Year
"Natural resources, agriculture and related production occupations",Ward 22,250,2021
Occupations in manufacturing and utilities,Ward 22,3300,2021
All occupations,Ward 23,43195,2021
Management occupations,Ward 23,145,2021
"Business, finance and administration occupations",Ward 23,7740,2021
Natural and applied sciences and related occupations,Ward 23,4195,2021
Health occupations,Ward 23,2960,2021
"Occupations in education, law and social, community and government services",Ward 23,3590,2021
"Occupations in art, culture, recreation and sport",Ward 23,850,2021
Sales and service occupations,Ward 23,12925,2021
"Trades, transport and equipment operators and related occupations",Ward 23,6420,2021
"Natural resources, agriculture and related production occupations",Ward 23,180,2021
Occupations in manufacturing and utilities,Ward 23,4195,2021
All occupations,Ward 24,47520,2021
Management occupations,Ward 24,175,2021
"Business, finance and administration occupations",Ward 24,8350,2021
Natural and applied sciences and related occupations,Ward 24,4635,2021
Health occupations,Ward 24,4100,2021
"Occupations in education, law and social, community and government services",Ward 24,4575,2021
"Occupations in art, culture, recreation and sport",Ward 24,1115,2021
Sales and service occupations,Ward 24,13590,2021
"Trades, transport and equipment operators and related occupations",Ward 24,7400,2021
"Natural resources, agriculture and related production occupations",Ward 24,290,2021
Occupations in manufacturing and utilities,Ward 24,3295,2021
All occupations,Ward 25,49760,2021
Management occupations,Ward 25,330,2021
"Business, finance and administration occupations",Ward 25,10255,2021
